# Seconds of Week            X-ECEF            Y-ECEF            Z-ECEF        VX        VY        VZ     Pitch      Roll       Yaw      GyroBiasX      GyroBiasY      GyroBiasZ      AcceBiasX      AcceBiasY      AcceBiasZ         
#             (s)               (m)               (m)               (m)     (m/s)     (m/s)     (m/s)     (deg)     (deg)     (deg)        (deg/h)        (deg/h)        (deg/h)           (mg)           (mg)           (mg)
     358560.902500      -2267480.295       5008785.170       3222043.515    -2.930    -1.895     0.937    1.3593    1.1817   76.3373        -0.3729         0.0529         4.4159         0.1709         2.0573         1.5595
     358561.002500      -2267480.591       5008785.027       3222043.588    -2.919    -1.883     0.931    1.3517    1.2187   76.3015        -0.5717        -0.1711         4.4616         0.1788         2.0046         1.5570
     358561.102500      -2267480.882       5008784.840       3222043.682    -2.906    -1.870     0.940    1.3260    1.2306   76.2677        -0.5697        -0.1603         4.6228         0.1808         2.0021         1.5570
     358561.202500      -2267481.172       5008784.653       3222043.777    -2.882    -1.855     0.952    1.3175    1.2108   76.2218        -0.5692        -0.1628         4.5998         0.1804         2.0023         1.5570
     358561.302500      -2267481.459       5008784.467       3222043.871    -2.871    -1.844     0.953    1.3434    1.1788   76.1787        -0.5629        -0.1551         4.6383         0.1806         1.9993         1.5572
     358561.402500      -2267481.746       5008784.283       3222043.966    -2.864    -1.834     0.951    1.3717    1.1444   76.1329        -0.5627        -0.1559         4.6276         0.1806         1.9990         1.5572
     358561.502500      -2267482.033       5008784.102       3222044.064    -2.864    -1.824     0.942    1.3574    1.1575   76.0774        -0.5628        -0.1543         4.6780         0.1811         2.0024         1.5568
     358561.602500      -2267482.319       5008783.920       3222044.157    -2.856    -1.829     0.930    1.3188    1.1886   76.0076        -0.5626        -0.1549         4.6810         0.1810         2.0025         1.5568
     358561.702500      -2267482.604       5008783.739       3222044.253    -2.833    -1.830     0.916    1.3040    1.2525   75.9282        -0.5632        -0.1527         4.7156         0.1817         2.0064         1.5562
     358561.802500      -2267482.887       5008783.556       3222044.345    -2.815    -1.831     0.924    1.3377    1.3193   75.8272        -0.5635        -0.1541         4.7238         0.1815         2.0068         1.5562
     358561.902500      -2267483.169       5008783.376       3222044.443    -2.810    -1.837     0.942    1.3597    1.3439   75.7250        -0.5666        -0.1542         4.7667         0.1823         2.0124         1.5555
     358562.002500      -2267483.450       5008783.192       3222044.538    -2.814    -1.833     0.963    1.3280    1.3392   75.6198        -0.5659        -0.1535         4.7678         0.1823         2.0124         1.5555
     358562.102500      -2267483.733       5008783.012       3222044.641    -2.821    -1.823     0.978    1.2413    1.3420   75.4964        -0.5591        -0.1344         4.8923         0.1839         2.0158         1.5546
     358562.202500      -2267484.016       5008782.832       3222044.741    -2.811    -1.820     0.982    1.1549    1.3325   75.3528        -0.5488        -0.1388         4.8739         0.1824         2.0191         1.5543
     358562.302500      -2267484.297       5008782.649       3222044.840    -2.796    -1.824     0.978    1.0889    1.3536   75.1980        -0.5460        -0.1313         4.9081         0.1829         2.0177         1.5543
     358562.402500      -2267484.575       5008782.466       3222044.937    -2.772    -1.829     0.975    1.0764    1.3700   75.0248        -0.5467        -0.1252         4.9432         0.1833         2.0159         1.5545
     358562.502500      -2267484.851       5008782.285       3222045.037    -2.755    -1.829     0.977    1.1262    1.4089   74.8508        -0.5486        -0.1232         4.9613         0.1838         2.0180         1.5541
     358562.602500      -2267485.127       5008782.102       3222045.135    -2.744    -1.836     0.992    1.1934    1.4381   74.6707        -0.5481        -0.1226         4.9623         0.1838         2.0178         1.5541
     358562.702500      -2267485.402       5008781.921       3222045.239    -2.737    -1.840     1.004    1.2621    1.4395   74.4730        -0.5520        -0.1274         4.9611         0.1840         2.0227         1.5535
     358562.802500      -2267485.675       5008781.737       3222045.341    -2.721    -1.839     1.017    1.3299    1.4509   74.2595        -0.5527        -0.1258         4.9628         0.1842         2.0228         1.5534
     358562.902500      -2267485.948       5008781.555       3222045.446    -2.720    -1.838     1.022    1.4148    1.4648   74.0441        -0.5554        -0.1223         4.9858         0.1850         2.0251         1.5529
     358563.002500      -2267486.266       5008781.397       3222045.496    -2.739    -1.833     1.016    1.4604    1.5231   73.8524        -0.4057        -0.7574         5.8115         0.1826         2.0560         1.5505
     358563.102500      -2267486.540       5008781.214       3222045.601    -2.727    -1.840     1.039    1.4907    1.5155   73.6190        -0.4085        -0.7499         5.9284         0.1847         2.0550         1.5504
     358563.202500      -2267486.813       5008781.032       3222045.709    -2.731    -1.845     1.052    1.5082    1.5185   73.3812        -0.4137        -0.7268         6.1887         0.1891         2.0520         1.5500
     358563.302500      -2267487.086       5008780.846       3222045.815    -2.740    -1.857     1.074    1.4632    1.4947   73.1210        -0.4151        -0.7181         6.2769         0.1904         2.0489         1.5501
     358563.402500      -2267487.361       5008780.660       3222045.923    -2.742    -1.859     1.088    1.3603    1.5152   72.8436        -0.4151        -0.7182         6.2750         0.1903         2.0491         1.5501
     358563.502500      -2267487.633       5008780.473       3222046.032    -2.727    -1.863     1.106    1.2568    1.5173   72.5548        -0.4125        -0.7049         6.3810         0.1919         2.0442         1.5504
     358563.602500      -2267487.905       5008780.287       3222046.143    -2.718    -1.863     1.122    1.1605    1.5092   72.2494        -0.4130        -0.7063         6.3770         0.1919         2.0445         1.5504
     358563.702500      -2267488.176       5008780.100       3222046.257    -2.698    -1.871     1.138    1.0679    1.5018   71.9328        -0.4126        -0.6904         6.5064         0.1940         2.0400         1.5505
     358563.802500      -2267488.444       5008779.915       3222046.377    -2.674    -1.875     1.145    1.0227    1.4932   71.6176        -0.4249        -0.6304         6.9792         0.2026         2.0295         1.5501
     358563.902500      -2267488.710       5008779.726       3222046.493    -2.661    -1.887     1.162    1.0219    1.4943   71.2779        -0.4223        -0.6138         7.0613         0.2040         2.0252         1.5503
     358564.002500      -2267488.979       5008779.495       3222046.661    -2.658    -1.930     1.207    0.9710    1.4806   70.8942         0.0175         0.2762         6.4369         0.1375         1.9321         1.5506
     358564.102500      -2267489.243       5008779.301       3222046.782    -2.630    -1.941     1.222    0.9311    1.4732   70.5025         0.0183         0.2803         6.4826         0.1383         1.9308         1.5506
     358564.202500      -2267489.506       5008779.107       3222046.905    -2.612    -1.941     1.237    0.9052    1.5211   70.0886         0.0173         0.2835         6.5082         0.1394         1.9299         1.5506
     358564.302500      -2267489.764       5008778.912       3222047.029    -2.581    -1.937     1.265    0.9167    1.5136   69.6447         0.0202         0.2959         6.6014         0.1409         1.9248         1.5509
     358564.402500      -2267490.022       5008778.719       3222047.156    -2.560    -1.933     1.273    0.9492    1.5481   69.1785         0.0217         0.2961         6.5996         0.1407         1.9246         1.5509
     358564.502500      -2267490.276       5008778.525       3222047.286    -2.533    -1.946     1.312    0.9738    1.5539   68.6925         0.0219         0.3045         6.6779         0.1421         1.9224         1.5510
     358564.602500      -2267490.528       5008778.329       3222047.417    -2.520    -1.945     1.332    0.9546    1.5320   68.1919         0.0214         0.3120         6.7258         0.1429         1.9188         1.5512
     358564.702500      -2267490.779       5008778.134       3222047.550    -2.499    -1.952     1.353    0.9230    1.5681   67.6832         0.0239         0.3265         6.8226         0.1445         1.9139         1.5515
     358564.802500      -2267491.027       5008777.938       3222047.687    -2.468    -1.967     1.372    0.8775    1.5521   67.1642         0.0254         0.3285         6.8173         0.1445         1.9134         1.5516
     358564.902500      -2267491.271       5008777.739       3222047.823    -2.437    -1.967     1.384    0.8449    1.5697   66.6543         0.0249         0.3625         7.0235         0.1482         1.9020         1.5522
     358565.002500      -2267491.513       5008777.542       3222047.963    -2.407    -1.964     1.411    0.8359    1.5918   66.1084         0.0232         0.3769         7.1005         0.1497         1.8980         1.5524
     358565.102500      -2267491.751       5008777.345       3222048.106    -2.382    -1.954     1.443    0.8193    1.5813   65.5380         0.0234         0.3958         7.2197         0.1518         1.8931         1.5526
     358565.202500      -2267491.989       5008777.149       3222048.251    -2.361    -1.964     1.464    0.7585    1.6046   64.9398         0.0255         0.3938         7.2118         0.1512         1.8935         1.5526
     358565.302500      -2267492.222       5008776.951       3222048.398    -2.319    -1.974     1.491    0.6809    1.5914   64.3267         0.0252         0.4219         7.3521         0.1539         1.8854         1.5530
     358565.402500      -2267492.452       5008776.753       3222048.550    -2.284    -1.981     1.520    0.6248    1.5617   63.7164         0.0264         0.4349         7.4245         0.1546         1.8830         1.5530
     358565.502500      -2267492.678       5008776.554       3222048.703    -2.257    -1.989     1.543    0.5655    1.5471   63.1073         0.0264         0.4572         7.5334         0.1567         1.8778         1.5532
     358565.602500      -2267492.902       5008776.356       3222048.862    -2.222    -1.990     1.562    0.5380    1.5055   62.4904         0.0230         0.4830         7.6786         0.1604         1.8741         1.5529
     358565.702500      -2267493.123       5008776.156       3222049.019    -2.206    -2.000     1.577    0.5428    1.5052   61.8806         0.0240         0.5066         7.7550         0.1621         1.8680         1.5532
     358565.802500      -2267493.341       5008775.953       3222049.179    -2.187    -2.014     1.614    0.5071    1.5002   61.2758         0.0161         0.5334         7.8691         0.1646         1.8603         1.5536
     358565.902500      -2267493.557       5008775.751       3222049.344    -2.173    -2.025     1.638    0.4268    1.5018   60.6645         0.0128         0.5716         7.9849         0.1684         1.8520         1.5537
     358566.002500      -2267493.773       5008775.548       3222049.509    -2.150    -2.035     1.663    0.3467    1.5315   60.0413         0.0132         0.5721         7.9869         0.1683         1.8518         1.5537
     358566.102500      -2267493.985       5008775.341       3222049.675    -2.118    -2.048     1.697    0.2721    1.5335   59.4318         0.0194         0.5991         8.0436         0.1686         1.8439         1.5543
     358566.202500      -2267494.196       5008775.138       3222049.848    -2.083    -2.047     1.726    0.2250    1.5093   58.8508         0.0189         0.5956         8.0355         0.1694         1.8472         1.5539
     358566.302500      -2267494.401       5008774.930       3222050.020    -2.053    -2.056     1.744    0.2253    1.4605   58.2752         0.0299         0.6131         8.0618         0.1680         1.8419         1.5544
     358566.402500      -2267494.606       5008774.725       3222050.195    -2.037    -2.057     1.768    0.2410    1.4365   57.7227         0.0322         0.6119         8.0604         0.1673         1.8423         1.5544
     358566.502500      -2267494.809       5008774.518       3222050.373    -2.034    -2.064     1.779    0.2502    1.4476   57.1870         0.0358         0.6276         8.0987         0.1678         1.8390         1.5545
     358566.602500      -2267495.013       5008774.309       3222050.548    -2.016    -2.081     1.793    0.2630    1.4920   56.6315         0.0549         0.5952         8.0183         0.1611         1.8465         1.5546
     358566.702500      -2267495.214       5008774.100       3222050.730    -1.994    -2.099     1.819    0.2732    1.5470   56.0711         0.0571         0.6067         8.0477         0.1610         1.8447         1.5546
     358566.802500      -2267495.411       5008773.890       3222050.915    -1.959    -2.109     1.852    0.2897    1.5515   55.5331         0.0555         0.6168         8.0595         0.1615         1.8422         1.5546
     358566.902500      -2267495.609       5008773.684       3222051.108    -1.941    -2.107     1.880    0.3305    1.5511   55.0050         0.0646         0.6219         8.0372         0.1621         1.8463         1.5535
     358567.002500      -2267495.768       5008773.462       3222051.277    -1.903    -2.108     1.922    0.3693    1.4927   54.4579        -0.1434         0.6223         7.7300         0.1857         1.8937         1.5566
     358567.102500      -2267495.959       5008773.253       3222051.471    -1.894    -2.114     1.938    0.3909    1.4567   53.9520        -0.1429         0.6174         7.6930         0.1856         1.8971         1.5562
     358567.202500      -2267496.148       5008773.041       3222051.666    -1.889    -2.120     1.956    0.3900    1.4459   53.4840        -0.1443         0.6195         7.6934         0.1863         1.8969         1.5562
     358567.302500      -2267496.337       5008772.830       3222051.864    -1.888    -2.125     1.971    0.3723    1.4636   53.0188        -0.1418         0.6221         7.6750         0.1872         1.8984         1.5559
     358567.402500      -2267496.525       5008772.618       3222052.062    -1.856    -2.129     2.000    0.3581    1.4702   52.5663        -0.1399         0.6191         7.6735         0.1863         1.8996         1.5559
     358567.502500      -2267496.712       5008772.410       3222052.264    -1.836    -2.130     2.010    0.3753    1.4652   52.1360        -0.1325         0.5889         7.5660         0.1866         1.9148         1.5548
     358567.602500      -2267496.895       5008772.196       3222052.466    -1.813    -2.134     2.030    0.4142    1.4565   51.7246        -0.1309         0.5852         7.5624         0.1859         1.9162         1.5547
     358567.702500      -2267497.077       5008771.983       3222052.670    -1.807    -2.143     2.041    0.4359    1.4407   51.3331        -0.1321         0.5757         7.5602         0.1856         1.9201         1.5545
     358567.802500      -2267497.258       5008771.770       3222052.874    -1.789    -2.149     2.062    0.4479    1.4343   50.9648        -0.1190         0.5505         7.5257         0.1800         1.9316         1.5540
     358567.902500      -2267497.439       5008771.556       3222053.078    -1.789    -2.151     2.073    0.4631    1.4383   50.6013        -0.1127         0.5196         7.5286         0.1764         1.9423         1.5538
     358568.002500      -2267497.618       5008771.340       3222053.287    -1.780    -2.155     2.095    0.4621    1.4645   50.2481        -0.1127         0.5196         7.5286         0.1764         1.9423         1.5538
     358568.102500      -2267497.798       5008771.126       3222053.493    -1.769    -2.156     2.108    0.4429    1.4747   49.9223        -0.1012         0.4755         7.5135         0.1710         1.9585         1.5534
     358568.202500      -2267497.975       5008770.910       3222053.704    -1.749    -2.155     2.126    0.4254    1.4901   49.6075        -0.0968         0.4661         7.5031         0.1687         1.9618         1.5534
     358568.302500      -2267498.158       5008770.696       3222053.902    -1.737    -2.154     2.135    0.4111    1.4568   49.2794        -0.0519         0.3276         7.3647         0.1474         2.0116         1.5527
     358568.402500      -2267498.333       5008770.482       3222054.116    -1.723    -2.157     2.140    0.4135    1.4714   48.9803        -0.0452         0.3114         7.3546         0.1451         2.0186         1.5523
     358568.502500      -2267498.508       5008770.268       3222054.326    -1.711    -2.164     2.139    0.4351    1.4800   48.6884        -0.0351         0.2613         7.3977         0.1390         2.0375         1.5517
     358568.602500      -2267498.682       5008770.052       3222054.538    -1.712    -2.164     2.149    0.4541    1.5386   48.4061        -0.0273         0.2443         7.3785         0.1361         2.0441         1.5515
     358568.702500      -2267498.857       5008769.841       3222054.752    -1.692    -2.163     2.171    0.4449    1.5376   48.1339        -0.0254         0.1849         7.4407         0.1339         2.0680         1.5504
     358568.802500      -2267499.027       5008769.625       3222054.969    -1.688    -2.157     2.169    0.4321    1.5568   47.8830        -0.0254         0.1849         7.4407         0.1339         2.0680         1.5504
     358568.902500      -2267499.202       5008769.412       3222055.178    -1.672    -2.150     2.171    0.4414    1.5513   47.6663         0.0059         0.0891         7.5048         0.1157         2.1069         1.5494
     358569.002500      -2267499.302       5008769.178       3222055.376    -1.643    -2.148     2.165    0.4703    1.5613   47.4762        -0.4121         0.1813         6.3411         0.2324         2.1461         1.5559
     358569.102500      -2267499.476       5008768.967       3222055.577    -1.637    -2.151     2.166    0.4753    1.5585   47.3684        -0.4009         0.0448         6.4163         0.2230         2.2001         1.5549
     358569.202500      -2267499.641       5008768.753       3222055.793    -1.644    -2.152     2.165    0.4436    1.5503   47.3036        -0.3971         0.0360         6.3994         0.2216         2.2046         1.5547
     358569.302500      -2267499.817       5008768.544       3222055.993    -1.662    -2.144     2.154    0.3708    1.5608   47.2958        -0.3825        -0.1114         6.4811         0.2092         2.2651         1.5533
     358569.402500      -2267499.992       5008768.332       3222056.195    -1.678    -2.136     2.130    0.2840    1.6352   47.3381        -0.3569        -0.2144         6.3647         0.1987         2.3095         1.5526
     358569.502500      -2267500.169       5008768.125       3222056.390    -1.652    -2.119     2.124    0.2628    1.6466   47.4068        -0.3396        -0.3618         6.4371         0.1861         2.3700         1.5514
     358569.602500      -2267500.337       5008767.912       3222056.597    -1.662    -2.112     2.103    0.2952    1.6665   47.4980        -0.3299        -0.3918         6.4476         0.1793         2.3817         1.5514
     358569.702500      -2267500.513       5008767.706       3222056.792    -1.660    -2.114     2.103    0.3082    1.6731   47.6052        -0.3198        -0.5203         6.5504         0.1704         2.4350         1.5503
     358569.802500      -2267500.681       5008767.495       3222056.998    -1.670    -2.114     2.090    0.2900    1.6661   47.7110        -0.3181        -0.5432         6.5972         0.1681         2.4443         1.5502
     358569.902500      -2267500.861       5008767.288       3222057.185    -1.666    -2.097     2.072    0.2931    1.6726   47.8228        -0.2902        -0.7059         6.6712         0.1501         2.5141         1.5490
     358570.002500      -2267500.996       5008767.023       3222057.407    -1.667    -2.109     2.058    0.3575    1.6577   47.9132        -0.2811        -0.5306         5.9015         0.0723         2.5358         1.5524
     358570.102500      -2267501.168       5008766.816       3222057.610    -1.679    -2.118     2.043    0.4319    1.7041   48.0389        -0.2711        -0.5692         5.7849         0.0625         2.5542         1.5514
     358570.202500      -2267501.338       5008766.606       3222057.815    -1.693    -2.120     2.040    0.4802    1.7369   48.1757        -0.2647        -0.5819         5.7040         0.0581         2.5616         1.5509
     358570.302500      -2267501.513       5008766.399       3222058.016    -1.697    -2.113     2.064    0.4833    1.7335   48.3436        -0.2461        -0.6354         5.5217         0.0438         2.5854         1.5498
     358570.402500      -2267501.683       5008766.188       3222058.223    -1.701    -2.110     2.070    0.4414    1.6855   48.5418        -0.2461        -0.6354         5.5217         0.0438         2.5854         1.5498
     358570.502500      -2267501.859       5008765.982       3222058.426    -1.709    -2.105     2.055    0.4122    1.6028   48.7474        -0.2267        -0.6867         5.4119         0.0298         2.6093         1.5487
     358570.602500      -2267502.031       5008765.771       3222058.630    -1.740    -2.113     2.026    0.3892    1.5224   49.0079        -0.2254        -0.6877         5.4076         0.0291         2.6098         1.5487
     358570.702500      -2267502.212       5008765.563       3222058.829    -1.776    -2.110     2.016    0.3114    1.5231   49.3218        -0.2046        -0.7425         5.2811         0.0144         2.6354         1.5476
     358570.802500      -2267502.393       5008765.352       3222059.028    -1.808    -2.111     1.993    0.1933    1.5223   49.6764        -0.1943        -0.7574         5.2152         0.0084         2.6419         1.5474
     358570.902500      -2267502.581       5008765.144       3222059.221    -1.821    -2.110     1.969    0.0856    1.5536   50.0827        -0.1607        -0.8247         5.0657        -0.0129         2.6721         1.5464
     358571.002500      -2267502.779       5008764.982       3222059.441    -1.827    -2.101     1.951    0.0391    1.5560   50.5575        -0.3951        -0.7312         5.6089         0.2157         2.5392         1.5456
     358571.102500      -2267502.967       5008764.773       3222059.629    -1.852    -2.113     1.932   -0.0139    1.5422   51.0225        -0.3839        -0.7856         5.4512         0.2089         2.5629         1.5451
     358571.202500      -2267503.155       5008764.561       3222059.819    -1.873    -2.118     1.931   -0.0933    1.4905   51.4986        -0.3783        -0.8046         5.3934         0.2055         2.5710         1.5450
     358571.302500      -2267503.349       5008764.351       3222060.005    -1.921    -2.121     1.906   -0.2144    1.4597   51.9790        -0.3693        -0.8646         5.2802         0.1996         2.5968         1.5444
     358571.402500      -2267503.543       5008764.139       3222060.194    -1.937    -2.117     1.890   -0.3341    1.4309   52.4528        -0.3717        -0.8735         5.2902         0.1992         2.6011         1.5444
     358571.502500      -2267503.742       5008763.929       3222060.375    -1.954    -2.122     1.858   -0.3866    1.3901   52.9211        -0.3628        -0.9315         5.1907         0.1933         2.6258         1.5439
     358571.602500      -2267503.938       5008763.715       3222060.556    -1.967    -2.132     1.834   -0.3798    1.3591   53.3990        -0.3583        -0.9481         5.1588         0.1912         2.6313         1.5440
     358571.702500      -2267504.140       5008763.503       3222060.733    -2.002    -2.141     1.818   -0.3748    1.3282   53.8812        -0.3547        -0.9923         5.1219         0.1873         2.6503         1.5437
     358571.802500      -2267504.344       5008763.289       3222060.912    -2.034    -2.144     1.819   -0.4143    1.2772   54.3680        -0.3475        -1.0186         5.0433         0.1826         2.6613         1.5435
     358571.902500      -2267504.552       5008763.075       3222061.087    -2.070    -2.146     1.795   -0.4503    1.2383   54.8560        -0.3402        -1.0614         5.0197         0.1780         2.6788         1.5434
     358572.002500      -2267504.760       5008762.859       3222061.265    -2.092    -2.155     1.774   -0.4676    1.2086   55.3366        -0.3417        -1.0551         5.0340         0.1786         2.6764         1.5434
     358572.102500      -2267504.973       5008762.643       3222061.435    -2.111    -2.160     1.745   -0.4284    1.1541   55.8112        -0.3347        -1.0915         4.9861         0.1735         2.6913         1.5433
     358572.202500      -2267505.185       5008762.427       3222061.610    -2.143    -2.165     1.735   -0.3915    1.1147   56.2978        -0.3341        -1.0829         5.0006         0.1727         2.6878         1.5434
     358572.302500      -2267505.404       5008762.210       3222061.777    -2.174    -2.172     1.731   -0.3854    1.0942   56.7812        -0.3305        -1.1212         5.0096         0.1696         2.7038         1.5432
     358572.402500      -2267505.624       5008761.993       3222061.950    -2.214    -2.171     1.720   -0.4043    1.0321   57.2536        -0.3305        -1.1212         5.0096         0.1696         2.7038         1.5432
     358572.502500      -2267505.848       5008761.775       3222062.120    -2.244    -2.185     1.708   -0.4597    1.0068   57.7291        -0.3223        -1.1244         5.0555         0.1651         2.7053         1.5432
     358572.602500      -2267506.074       5008761.556       3222062.289    -2.278    -2.185     1.680   -0.5118    0.9623   58.2082        -0.3222        -1.1259         5.0605         0.1649         2.7060         1.5432
     358572.702500      -2267506.304       5008761.338       3222062.453    -2.306    -2.185     1.655   -0.5367    0.9575   58.6734        -0.3196        -1.1444         5.0593         0.1630         2.7132         1.5432
     358572.802500      -2267506.536       5008761.119       3222062.618    -2.325    -2.189     1.654   -0.5554    0.9523   59.1149        -0.3185        -1.1455         5.0850         0.1616         2.7133         1.5432
     358572.902500      -2267506.768       5008760.902       3222062.789    -2.331    -2.192     1.648   -0.5887    0.8718   59.5274        -0.3192        -1.1220         5.2010         0.1644         2.7070         1.5428
     358573.002500      -2267506.938       5008760.612       3222062.974    -2.342    -2.206     1.642   -0.6320    0.8044   59.8408        -0.2628        -0.8729         3.4272         0.0371         2.7586         1.5473
     358573.102500      -2267507.172       5008760.391       3222063.142    -2.359    -2.200     1.627   -0.6763    0.7201   60.1899        -0.2573        -0.8414         3.6111         0.0354         2.7480         1.5473
     358573.202500      -2267507.407       5008760.172       3222063.308    -2.378    -2.193     1.595   -0.6953    0.7031   60.5341        -0.2541        -0.8034         3.7992         0.0342         2.7374         1.5471
     358573.302500      -2267507.646       5008759.953       3222063.465    -2.385    -2.192     1.572   -0.6805    0.7047   60.8465        -0.2517        -0.8148         3.7408         0.0342         2.7414         1.5471
     358573.402500      -2267507.885       5008759.734       3222063.621    -2.389    -2.187     1.557   -0.6642    0.7106   61.1315        -0.2517        -0.8148         3.7408         0.0342         2.7414         1.5471
     358573.502500      -2267508.123       5008759.515       3222063.776    -2.383    -2.176     1.546   -0.6338    0.7034   61.4007        -0.2483        -0.8094         3.7423         0.0336         2.7388         1.5473
     358573.602500      -2267508.361       5008759.297       3222063.930    -2.377    -2.166     1.550   -0.5976    0.6368   61.6531        -0.2468        -0.8077         3.7404         0.0331         2.7380         1.5474
     358573.702500      -2267508.597       5008759.081       3222064.086    -2.376    -2.156     1.541   -0.5512    0.5312   61.9147        -0.2446        -0.7949         3.7580         0.0325         2.7332         1.5475
     358573.802500      -2267508.836       5008758.865       3222064.239    -2.392    -2.147     1.507   -0.5282    0.4454   62.1885        -0.2441        -0.7920         3.7628         0.0322         2.7323         1.5475
     358573.902500      -2267509.075       5008758.652       3222064.390    -2.415    -2.126     1.462   -0.5358    0.4572   62.4506        -0.2427        -0.7750         3.7816         0.0318         2.7276         1.5475
     358574.002500      -2267509.251       5008758.367       3222064.629    -2.398    -2.135     1.456   -0.6053    0.5053   62.6060         0.1206        -0.2285         1.0940        -0.0856         2.6492         1.5525
     358574.102500      -2267509.489       5008758.155       3222064.777    -2.359    -2.106     1.442   -0.6680    0.5321   62.8482         0.1211        -0.2250         1.0989        -0.0854         2.6482         1.5523
     358574.202500      -2267509.723       5008757.947       3222064.922    -2.323    -2.067     1.432   -0.6931    0.5209   63.1015         0.1247        -0.2192         1.1434        -0.0853         2.6487         1.5520
     358574.302500      -2267509.953       5008757.745       3222065.071    -2.289    -2.032     1.423   -0.6950    0.4400   63.3425         0.1257        -0.1982         1.2557        -0.0855         2.6473         1.5515
     358574.402500      -2267510.179       5008757.543       3222065.219    -2.287    -1.996     1.390   -0.7075    0.3628   63.5749         0.1311        -0.1421         1.6577        -0.0878         2.6362         1.5513
     358574.502500      -2267510.406       5008757.346       3222065.361    -2.283    -1.969     1.335   -0.7683    0.3681   63.7958         0.1348        -0.1092         1.8108        -0.0889         2.6307         1.5510
     358574.602500      -2267510.632       5008757.149       3222065.492    -2.259    -1.946     1.292   -0.8231    0.4134   64.0061         0.1333        -0.1047         1.8453        -0.0892         2.6281         1.5513
     358574.702500      -2267510.855       5008756.956       3222065.622    -2.223    -1.924     1.259   -0.8420    0.4995   64.2228         0.1351        -0.0887         1.8841        -0.0896         2.6236         1.5513
     358574.802500      -2267511.075       5008756.764       3222065.747    -2.180    -1.907     1.245   -0.8102    0.5361   64.4384         0.1360        -0.0865         1.8839        -0.0898         2.6229         1.5513
     358574.902500      -2267511.292       5008756.575       3222065.874    -2.182    -1.864     1.203   -0.7805    0.5537   64.6530         0.1365        -0.0688         1.9276        -0.0904         2.6203         1.5511
     358575.002500      -2267511.506       5008756.390       3222065.975    -2.106    -1.834     1.254   -0.6676    0.3194   64.8780         0.0951         0.0360         2.5650        -0.1133         2.6694         1.5514
     358575.102500      -2267511.720       5008756.207       3222066.095    -2.166    -1.817     1.179   -0.7266    0.4746   65.1001         0.0994         0.0597         2.8453        -0.1149         2.6618         1.5516
     358575.202500      -2267511.935       5008756.026       3222066.212    -2.131    -1.796     1.154   -0.8776    0.4641   65.2813         0.1002         0.0592         2.8287        -0.1146         2.6603         1.5518
     358575.302500      -2267512.146       5008755.847       3222066.324    -2.113    -1.769     1.102   -0.9842    0.5912   65.4982         0.1088         0.0734         2.9147        -0.1159         2.6533         1.5522
     358575.402500      -2267512.354       5008755.671       3222066.433    -2.059    -1.748     1.098   -1.0029    0.6742   65.6895         0.1087         0.0733         2.9157        -0.1159         2.6528         1.5522
     358575.502500      -2267512.558       5008755.498       3222066.545    -2.022    -1.720     1.097   -0.9559    0.6758   65.8796         0.1087         0.0833         3.0090        -0.1167         2.6520         1.5521
     358575.602500      -2267512.759       5008755.326       3222066.655    -2.008    -1.703     1.103   -0.9389    0.5778   66.0707         0.1094         0.0843         3.0197        -0.1166         2.6511         1.5521
     358575.702500      -2267512.960       5008755.157       3222066.766    -2.019    -1.677     1.058   -1.0023    0.5953   66.2601         0.1109         0.1012         3.1520        -0.1176         2.6499         1.5520
     358575.802500      -2267513.161       5008754.991       3222066.868    -2.044    -1.643     0.996   -1.0725    0.6867   66.4302         0.1138         0.1041         3.1681        -0.1171         2.6493         1.5521
     358575.902500      -2267513.359       5008754.828       3222066.971    -1.970    -1.617     1.053   -1.1337    0.6839   66.6681         0.1197         0.1354         3.3689        -0.1189         2.6486         1.5521
     358576.002500      -2267513.556       5008754.667       3222067.071    -1.943    -1.597     0.953   -1.1521    0.8334   66.8839         0.1199         0.1349         3.3669        -0.1188         2.6483         1.5521
     358576.102500      -2267513.747       5008754.509       3222067.169    -1.899    -1.589     0.958   -1.0445    0.8378   66.9991         0.1204         0.1506         3.4872        -0.1195         2.6492         1.5519
     358576.202500      -2267513.936       5008754.352       3222067.263    -1.888    -1.559     0.940   -0.9514    0.8652   67.1726         0.1201         0.1502         3.4864        -0.1194         2.6494         1.5519
     358576.302500      -2267514.124       5008754.199       3222067.362    -1.872    -1.536     0.946   -0.9158    0.9017   67.3936         0.1166         0.1699         3.6412        -0.1198         2.6549         1.5512
     358576.402500      -2267514.311       5008754.046       3222067.456    -1.882    -1.512     0.934   -0.8847    0.9041   67.5561         0.1168         0.1704         3.6432        -0.1198         2.6551         1.5512
     358576.502500      -2267514.498       5008753.896       3222067.553    -1.859    -1.512     0.947   -0.8527    0.8821   67.7051         0.1163         0.1878         3.7642        -0.1204         2.6589         1.5507
     358576.602500      -2267514.682       5008753.744       3222067.647    -1.846    -1.513     0.937   -0.8020    0.7909   67.9141         0.1163         0.1879         3.7646        -0.1204         2.6588         1.5507
     358576.702500      -2267514.866       5008753.593       3222067.741    -1.865    -1.504     0.896   -0.7310    0.8070   68.1413         0.1197         0.2123         3.9118        -0.1208         2.6618         1.5505
