# Seconds of Week            X-ECEF            Y-ECEF            Z-ECEF        VX        VY        VZ     Pitch      Roll       Yaw      GyroBiasX      GyroBiasY      GyroBiasZ      AcceBiasX      AcceBiasY      AcceBiasZ         
#             (s)               (m)               (m)               (m)     (m/s)     (m/s)     (m/s)     (deg)     (deg)     (deg)        (deg/h)        (deg/h)        (deg/h)           (mg)           (mg)           (mg)
     358434.002500      -2267408.273       5008839.527       3222008.063     0.000     0.003     0.005    0.5154    0.7370   35.9537        -0.3216         0.5251        -0.0106        -0.0207         0.0142         1.5656
     358435.002500      -2267408.278       5008839.541       3222008.073    -0.003     0.006     0.004    0.5172    0.7398   35.9567        -0.5793         0.1856        -0.0090        -0.0205         0.0141         1.5591
     358436.002500      -2267408.280       5008839.549       3222008.084    -0.002     0.005     0.006    0.5159    0.7391   35.9569        -0.3898         0.4662        -0.0108        -0.0206         0.0141         1.5596
     358437.002500      -2267408.282       5008839.553       3222008.088    -0.003     0.004     0.003    0.5180    0.7393   35.9569        -0.4362         0.1480        -0.0071        -0.0206         0.0142         1.5659
     358438.002500      -2267408.282       5008839.558       3222008.097    -0.001     0.004     0.005    0.5154    0.7350   35.9552        -0.3657         0.4973        -0.0109        -0.0206         0.0142         1.5669
     358439.002500      -2267408.280       5008839.562       3222008.096     0.001     0.005     0.000    0.5230    0.7368   35.9584        -0.7876         0.3319        -0.0126        -0.0206         0.0141         1.5739
     358440.002500      -2267408.282       5008839.569       3222008.100    -0.000     0.004     0.000    0.5196    0.7368   35.9567        -0.7072         0.2306        -0.0107        -0.0206         0.0142         1.5737
     358441.002500      -2267408.283       5008839.572       3222008.102     0.001     0.002    -0.000    0.5183    0.7383   35.9573        -0.6369         0.2018        -0.0097        -0.0206         0.0142         1.5782
     358442.002500      -2267408.285       5008839.574       3222008.105    -0.001     0.002    -0.000    0.5174    0.7383   35.9551        -0.4969         0.1471        -0.0078        -0.0206         0.0143         1.5801
     358443.002500      -2267408.287       5008839.573       3222008.108     0.001     0.000     0.000    0.5174    0.7373   35.9557        -0.4176         0.2457        -0.0084        -0.0207         0.0143         1.5841
     358444.002500      -2267408.288       5008839.567       3222008.108     0.003    -0.003     0.000    0.5160    0.7371   35.9551        -0.3204         0.3646        -0.0094        -0.0208         0.0144         1.5922
     358445.002500      -2267408.292       5008839.567       3222008.113     0.002    -0.003    -0.000    0.5166    0.7377   35.9585        -0.3000         0.2845        -0.0081        -0.0208         0.0144         1.5910
     358446.002500      -2267408.297       5008839.571       3222008.117     0.001    -0.001    -0.001    0.5182    0.7390   35.9608        -0.4735         0.0913        -0.0065        -0.0207         0.0143         1.5869
     358447.002500      -2267408.305       5008839.581       3222008.127    -0.001     0.003     0.001    0.5190    0.7401   35.9596        -0.4416         0.1283        -0.0069        -0.0206         0.0143         1.5778
     358448.002500      -2267408.313       5008839.590       3222008.134    -0.002     0.004     0.001    0.5174    0.7464   35.9594        -0.5107         0.1167        -0.0069        -0.0206         0.0142         1.5737
     358449.002500      -2267408.318       5008839.594       3222008.141    -0.002     0.004     0.001    0.5151    0.7445   35.9588        -0.4452         0.2610        -0.0089        -0.0207         0.0143         1.5753
     358450.002500      -2267408.325       5008839.601       3222008.153    -0.003     0.003     0.005    0.5109    0.7404   35.9592        -0.2463         0.3380        -0.0095        -0.0206         0.0143         1.5721
     358451.002500      -2267408.328       5008839.601       3222008.156    -0.002     0.001     0.003    0.5122    0.7417   35.9589        -0.3858         0.3353        -0.0101        -0.0207         0.0143         1.5784
     358452.002500      -2267408.335       5008839.602       3222008.159    -0.004    -0.000     0.002    0.5127    0.7424   35.9623        -0.4091         0.1105        -0.0062        -0.0207         0.0143         1.5822
     358453.002500      -2267408.338       5008839.606       3222008.167    -0.001     0.000     0.004    0.5138    0.7366   35.9613        -0.4471         0.3709        -0.0114        -0.0207         0.0143         1.5815
     358454.002500      -2267408.337       5008839.611       3222008.171     0.000     0.002     0.001    0.5185    0.7363   35.9617        -0.7307         0.4045        -0.0144        -0.0208         0.0143         1.5823
     358455.002500      -2267408.338       5008839.619       3222008.176    -0.001     0.004    -0.000    0.5181    0.7406   35.9609        -0.7835         0.3114        -0.0133        -0.0207         0.0142         1.5804
     358456.002500      -2267408.339       5008839.623       3222008.176    -0.000     0.003    -0.001    0.5184    0.7447   35.9614        -0.8773         0.1873        -0.0124        -0.0207         0.0142         1.5823
